                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.68462,                0.89832,                 1.0143,                0.63227,                 0.5169,                0.49496,                0.26063,                 1.4657,                 1.8262,                 1.3313,             0.00084162,             0.00084162,             0.00084162
                     36,                0.70055,                0.90179,                 1.0222,                0.51696,                0.51215,                 0.4578,                0.22958,                 1.6053,                  1.942,                 1.5051,             0.00082925,             0.00082925,             0.00082925
                     37,                0.69965,                0.90062,                  1.022,                0.53306,                0.49146,                0.42261,                0.21389,                  1.636,                 1.9643,                 1.4854,             0.00081688,             0.00081688,             0.00081688
                     38,                0.68043,                0.87627,                 1.0042,                0.51273,                 0.4972,                0.47207,                0.27449,                 1.6285,                  1.898,                 1.5383,              0.0008045,              0.0008045,              0.0008045
                     39,                0.67399,                0.87017,                 1.0092,                0.53898,                 0.5911,                0.52921,                0.29264,                 1.5195,                 2.0829,                 1.4375,             0.00079213,             0.00079213,             0.00079213
                     40,                0.66662,                0.87473,                 1.0091,                0.65102,                0.56312,                0.56293,                0.29129,                 1.4841,                 1.7795,                 1.3242,             0.00077975,             0.00077975,             0.00077975
                     41,                0.66366,                0.83726,                 1.0031,                0.57816,                0.49989,                0.44262,                0.23489,                 1.6413,                 2.0553,                 1.4867,             0.00076738,             0.00076738,             0.00076738
                     42,                0.65576,                0.85059,                0.99781,                0.57893,                 0.5205,                0.47024,                0.22524,                 1.7459,                 2.0531,                 1.5353,               0.000755,               0.000755,               0.000755
                     43,                0.65294,                0.84485,                0.99417,                0.64764,                0.55828,                0.52959,                0.30518,                 1.4328,                 1.8092,                 1.3379,             0.00074263,             0.00074263,             0.00074263
                     44,                0.65767,                0.82887,                0.99765,                0.57006,                0.55596,                 0.4998,                0.29718,                 1.4766,                 1.9256,                 1.4448,             0.00073025,             0.00073025,             0.00073025
                     45,                0.63456,                0.80486,                0.99041,                0.49814,                0.53089,                0.44471,                0.25402,                 1.4235,                 1.9602,                 1.3473,             0.00071788,             0.00071788,             0.00071788
                     46,                 0.6459,                0.80689,                0.99401,                0.55978,                0.57152,                0.50776,                 0.2964,                 1.4641,                 1.8532,                 1.4285,              0.0007055,              0.0007055,              0.0007055
                     47,                0.63331,                0.78812,                 0.9905,                0.52084,                0.57816,                0.48477,                0.25779,                 1.6206,                 1.8439,                 1.4739,             0.00069313,             0.00069313,             0.00069313
                     48,                0.63315,                0.79795,                0.98783,                0.56903,                0.53647,                0.45718,                0.25243,                 1.5136,                 1.9295,                 1.3799,             0.00068075,             0.00068075,             0.00068075
                     49,                0.61661,                0.76031,                0.98011,                0.55233,                0.53441,                0.50548,                0.28137,                 1.4173,                 1.8716,                 1.3442,             0.00066838,             0.00066838,             0.00066838
                     50,                0.62932,                 0.7762,                0.98495,                0.62082,                0.55657,                0.51642,                0.28267,                 1.5837,                 1.8227,                 1.4822,               0.000656,               0.000656,               0.000656
                     51,                 0.6131,                0.75026,                0.97335,                0.53062,                0.55731,                 0.4916,                0.28006,                 1.5096,                 2.0771,                 1.3945,             0.00064362,             0.00064362,             0.00064362
                     52,                0.60718,                0.74243,                0.97969,                0.65227,                0.51365,                0.51935,                0.31278,                 1.4272,                 1.8709,                 1.3214,             0.00063125,             0.00063125,             0.00063125
                     53,                0.62326,                0.75721,                0.98391,                0.53386,                0.60595,                0.51215,                0.28883,                  1.362,                 1.7894,                 1.3282,             0.00061887,             0.00061887,             0.00061887
                     54,                0.62257,                0.74581,                0.98436,                0.50496,                0.51807,                 0.4288,                0.25947,                 1.5062,                 1.8999,                 1.3531,              0.0006065,              0.0006065,              0.0006065
                     55,                0.60786,                0.72449,                0.97878,                0.48026,                0.54725,                0.45016,                0.25361,                 1.4571,                 2.0353,                 1.4201,             0.00059413,             0.00059413,             0.00059413
                     56,                0.61477,                0.70931,                0.98011,                0.59117,                0.53829,                0.48644,                0.25961,                 1.6002,                 1.9803,                 1.3869,             0.00058175,             0.00058175,             0.00058175
                     57,                0.60658,                0.72209,                0.97795,                0.66881,                0.52222,                0.50195,                0.29138,                 1.3539,                 1.8429,                 1.2562,             0.00056938,             0.00056938,             0.00056938
                     58,                0.59798,                 0.7102,                0.97765,                0.54963,                0.52916,                0.47668,                 0.2592,                 1.5289,                 1.9397,                 1.4066,               0.000557,               0.000557,               0.000557
                     59,                0.60805,                0.70664,                0.97511,                0.58103,                0.47782,                0.46222,                0.26075,                 1.4197,                 1.8735,                  1.328,             0.00054463,             0.00054463,             0.00054463
                     60,                0.59723,                0.69543,                0.96819,                0.53938,                0.58039,                0.50466,                0.28351,                 1.5224,                 1.7928,                 1.4444,             0.00053225,             0.00053225,             0.00053225
                     61,                0.58778,                0.67795,                0.96537,                0.57383,                0.52997,                0.49279,                 0.2738,                 1.5282,                 1.9282,                 1.3893,             0.00051988,             0.00051988,             0.00051988
                     62,                 0.5986,                0.68487,                0.97007,                0.59186,                0.52335,                 0.4833,                0.28201,                 1.4771,                 2.0627,                 1.4375,              0.0005075,              0.0005075,              0.0005075
                     63,                0.58567,                0.65613,                0.97154,                0.65388,                0.54411,                0.53804,                0.30826,                 1.3717,                 1.8494,                 1.3337,             0.00049513,             0.00049513,             0.00049513
                     64,                0.58507,                0.65393,                0.97405,                0.70286,                0.49473,                0.47887,                0.27252,                 1.4255,                  2.154,                 1.4011,             0.00048275,             0.00048275,             0.00048275
                     65,                  0.578,                 0.6486,                0.96234,                0.63688,                0.51984,                 0.4732,                0.25706,                 1.5207,                 1.8116,                 1.4183,             0.00047038,             0.00047038,             0.00047038
                     66,                0.56572,                0.62563,                0.95529,                0.55227,                0.48053,                0.44269,                0.23616,                  1.599,                  1.967,                 1.4943,               0.000458,               0.000458,               0.000458
                     67,                0.56446,                0.63608,                 0.9559,                0.59311,                0.55824,                0.48183,                0.28794,                 1.4315,                 1.9053,                 1.3454,             0.00044563,             0.00044563,             0.00044563
                     68,                 0.5684,                0.63081,                0.95597,                0.64062,                 0.5625,                0.51266,                0.28682,                 1.4654,                 1.9134,                 1.3737,             0.00043325,             0.00043325,             0.00043325
                     69,                0.56454,                  0.625,                0.95603,                0.59381,                0.53666,                0.49198,                0.28816,                 1.4318,                 1.8917,                 1.3041,             0.00042087,             0.00042087,             0.00042087
                     70,                  0.563,                0.61231,                0.95433,                0.61682,                0.56355,                0.50284,                 0.3062,                 1.4031,                 1.8372,                 1.3048,              0.0004085,              0.0004085,              0.0004085
                     71,                 0.5686,                0.60955,                0.95681,                0.61176,                0.55975,                0.50587,                0.29618,                 1.4833,                  1.815,                 1.3942,             0.00039613,             0.00039613,             0.00039613
                     72,                0.55522,                0.60924,                0.95337,                0.59633,                0.54035,                0.48111,                0.26134,                 1.3825,                  1.897,                 1.2622,             0.00038375,             0.00038375,             0.00038375
                     73,                0.55768,                0.59008,                0.95424,                0.66891,                 0.5637,                0.52508,                0.30609,                 1.4243,                 1.8801,                  1.337,             0.00037138,             0.00037138,             0.00037138
                     74,                0.55856,                0.59769,                0.95071,                0.57308,                 0.5598,                0.51572,                0.29178,                 1.4706,                 1.9002,                 1.3682,               0.000359,               0.000359,               0.000359
                     75,                0.54229,                0.57123,                0.94526,                0.63452,                 0.5625,                 0.5228,                0.29497,                 1.4924,                 1.9297,                 1.3434,             0.00034663,             0.00034663,             0.00034663
                     76,                0.54415,                0.56792,                0.95008,                0.51666,                 0.5518,                0.47758,                0.27821,                 1.4496,                  2.074,                 1.3497,             0.00033425,             0.00033425,             0.00033425
                     77,                0.54458,                0.57082,                0.95034,                0.64035,                0.52175,                0.51417,                0.25328,                 1.6515,                 2.0528,                 1.4713,             0.00032188,             0.00032188,             0.00032188
                     78,                0.53831,                0.56134,                0.94895,                0.57494,                0.54597,                0.49607,                0.27739,                 1.3962,                 2.0327,                 1.3071,              0.0003095,              0.0003095,              0.0003095
                     79,                0.53438,                0.56852,                0.94877,                0.59404,                0.57719,                0.51144,                0.29484,                 1.3542,                 1.9604,                 1.2707,             0.00029713,             0.00029713,             0.00029713
                     80,                0.53184,                0.55173,                0.93978,                0.61316,                0.55211,                0.51411,                0.31347,                 1.3144,                 1.8469,                 1.2528,             0.00028475,             0.00028475,             0.00028475
                     81,                0.53743,                0.55859,                0.94574,                0.55551,                0.57572,                0.49656,                0.30095,                 1.3272,                 1.8341,                 1.2258,             0.00027237,             0.00027237,             0.00027237
                     82,                0.52681,                0.54954,                 0.9397,                 0.6114,                0.52011,                0.50601,                0.31205,                 1.3214,                   1.82,                 1.2474,                0.00026,                0.00026,                0.00026
                     83,                0.52959,                0.54588,                0.94226,                0.63244,                0.52775,                0.49851,                0.29161,                 1.3141,                 1.7981,                  1.239,             0.00024762,             0.00024762,             0.00024762
                     84,                0.52912,                0.53294,                0.94144,                0.59533,                 0.5518,                0.49153,                0.28848,                 1.3463,                 1.8106,                 1.2667,             0.00023525,             0.00023525,             0.00023525
                     85,                0.51098,                0.51799,                0.93383,                0.53379,                0.59851,                0.49851,                0.30139,                 1.3933,                 1.8841,                 1.3009,             0.00022288,             0.00022288,             0.00022288
                     86,                0.51185,                0.51956,                  0.938,                0.67441,                0.52002,                0.50715,                0.30454,                 1.4113,                 1.8473,                  1.296,              0.0002105,              0.0002105,              0.0002105
                     87,                0.51508,                0.50762,                0.93806,                0.55337,                0.59561,                0.49416,                0.28957,                 1.3891,                 1.8845,                 1.2804,             0.00019813,             0.00019813,             0.00019813
                     88,                0.50857,                0.51509,                0.93143,                0.55706,                0.58931,                0.49512,                0.29588,                 1.3937,                  1.868,                 1.2609,             0.00018575,             0.00018575,             0.00018575
                     89,                0.50357,                 0.5058,                0.93133,                0.62388,                0.54408,                0.48704,                0.30666,                 1.3733,                 1.9491,                 1.2787,             0.00017338,             0.00017338,             0.00017338
                     90,                0.50966,                0.50814,                0.93474,                0.66508,                0.51849,                0.50802,                0.30751,                 1.3456,                 1.8564,                 1.2748,               0.000161,               0.000161,               0.000161
                     91,                0.36314,                0.36743,                0.89412,                0.67209,                0.56321,                0.52009,                0.32573,                 1.3028,                 1.8453,                 1.2626,             0.00014862,             0.00014862,             0.00014862
                     92,                0.36274,                0.34226,                0.90577,                0.69454,                0.46646,                0.51737,                0.32179,                 1.2979,                  1.963,                 1.2364,             0.00013625,             0.00013625,             0.00013625
                     93,                0.35391,                0.33831,                0.89538,                0.57532,                0.57265,                0.51543,                0.32238,                 1.2955,                 1.8895,                  1.238,             0.00012387,             0.00012387,             0.00012387
                     94,                0.34711,                0.33455,                0.89237,                0.57263,                0.57753,                0.50553,                0.32465,                 1.2652,                  2.024,                 1.2159,              0.0001115,              0.0001115,              0.0001115
                     95,                0.34245,                0.32385,                 0.8889,                0.59055,                0.54461,                 0.4927,                0.31362,                 1.2623,                 2.0578,                 1.2279,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.34291,                0.31328,                0.88878,                0.60071,                0.55725,                0.50808,                0.33084,                 1.3035,                 2.0265,                 1.2556,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.33588,                0.31238,                0.88475,                 0.6503,                0.53822,                0.52771,                0.34237,                 1.2521,                 1.9175,                 1.2204,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.32923,                0.30599,                0.88615,                 0.5675,                0.58755,                0.52059,                  0.333,                 1.2851,                 2.0133,                 1.2301,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.33424,                0.30676,                0.88586,                0.58783,                0.58093,                0.51794,                0.34275,                 1.2783,                  2.027,                 1.2333,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                  0.325,                0.30238,                0.88186,                 0.6314,                0.55193,                0.51778,                0.34815,                 1.2594,                 2.0077,                 1.2351,              3.725e-05,              3.725e-05,              3.725e-05
